DATE,AHETPI,AWHI,CPIAUCSL,CPILEGNS,CPILEGSL,CPILFENS,CPILFESL,LOANS,M1SL,PCEC96,PPICEM,TB3MS
1990-01-01,10.02,85.0,127.500,131.500,131.500,132.000,132.100,1995.2,795.4,,82.3,7.64
1990-02-01,10.08,84.9,128.000,132.300,132.200,132.800,132.700,2004.9,798.1,,82.6,7.74
1990-03-01,10.11,85.0,128.600,133.300,132.900,133.900,133.500,2013.2,801.5,,78.6,7.90
1990-04-01,10.12,84.7,128.900,133.500,133.300,134.200,134.000,2021.9,806.1,,73.1,7.77
1990-05-01,10.16,84.6,129.100,133.700,133.600,134.400,134.400,2029.2,804.2,,74.5,7.74
1990-06-01,10.20,84.8,129.900,134.200,134.400,134.800,135.100,2035.8,808.8,,69.4,7.73
1990-07-01,10.22,84.3,130.500,134.800,135.100,135.500,135.800,2047.1,810.1,,69.7,7.62
1990-08-01,10.24,84.2,131.600,135.600,135.800,136.400,136.600,2062.9,815.7,,87.2,7.45
1990-09-01,10.28,84.1,132.500,136.300,136.300,137.200,137.100,2062.2,820.2,,98.5,7.36
1990-10-01,10.30,83.7,133.400,136.900,136.800,137.800,137.600,2067.4,819.9,,117.0,7.17
1990-11-01,10.32,83.8,133.700,137.200,137.200,138.200,138.000,2070.5,822.1,,104.1,7.06
1990-12-01,10.35,83.7,134.200,137.400,137.700,138.300,138.600,2079.1,824.7,,93.5,6.74
1991-01-01,10.38,83.3,134.700,138.600,138.500,139.400,139.500,2079.1,827.2,,97.6,6.22
1991-02-01,10.39,83.0,134.800,139.300,139.100,140.300,140.200,2088.5,832.6,,83.1,5.94
1991-03-01,10.42,82.5,134.800,139.800,139.400,140.900,140.500,2090.0,838.7,,77,5.91
1991-04-01,10.46,82.4,135.100,140.200,139.900,141.100,140.900,2087.8,843.1,,76.7,5.65
1991-05-01,10.49,82.2,135.600,140.300,140.300,141.300,141.300,2085.6,848.8,,79.2,5.46
1991-06-01,10.51,82.5,136.000,140.500,140.800,141.500,141.800,2085.4,856.7,,77.1,5.57
1991-07-01,10.54,82.5,136.200,140.900,141.100,142.000,142.300,2077.8,861.6,,78.3,5.58
1991-08-01,10.56,82.5,136.600,141.300,141.500,142.700,142.900,2070.7,866.7,,79,5.33
1991-09-01,10.58,82.5,137.000,141.900,141.900,143.400,143.400,2071.6,869.7,,77,5.22
1991-10-01,10.59,82.8,137.200,142.300,142.200,143.900,143.700,2073.3,878.0,,80.6,4.99
1991-11-01,10.61,82.4,137.800,142.700,142.700,144.400,144.200,2076.6,887.6,,81.2,4.56
1991-12-01,10.64,82.5,138.200,142.800,143.100,144.400,144.700,2081.2,897.0,,78,4.07
1992-01-01,10.65,82.5,138.300,143.300,143.400,144.900,145.100,2085.0,910.4,,74.4,3.80
1992-02-01,10.67,82.5,138.600,144.000,143.700,145.600,145.400,2085.6,925.2,,75.5,3.84
1992-03-01,10.70,82.5,139.100,144.700,144.200,146.400,145.900,2087.1,936.7,,72.2,4.04
1992-04-01,10.72,83.2,139.400,144.900,144.500,146.600,146.300,2089.5,943.8,,75,3.75
1992-05-01,10.74,83.3,139.700,144.900,144.900,146.700,146.800,2081.4,950.6,,77.4,3.63
1992-06-01,10.77,83.1,140.100,145.000,145.200,146.900,147.100,2078.1,954.3,,80.1,3.66
1992-07-01,10.79,83.1,140.500,145.300,145.500,147.300,147.600,2069.1,963.3,,81,3.21
1992-08-01,10.82,83.2,140.800,145.800,146.000,147.700,147.900,2069.0,973.7,,79.7,3.13
1992-09-01,10.83,83.6,141.100,146.200,146.300,148.100,148.100,2076.6,988.0,,83.8,2.91
1992-10-01,10.86,83.5,141.700,146.900,146.800,149.000,148.800,2080.6,1003.7,,82.9,2.86
1992-11-01,10.87,83.7,142.100,147.100,147.200,149.300,149.200,2081.9,1015.7,,83.8,3.13
1992-12-01,10.90,83.9,142.300,147.100,147.400,149.200,149.600,2084.7,1024.9,,79.8,3.22
1993-01-01,10.93,84.4,142.800,147.900,147.900,149.900,150.100,2083.7,1030.4,,78.6,3.00
1993-02-01,10.95,84.7,143.100,148.700,148.400,150.800,150.600,2081.8,1033.5,,77.5,2.93
1993-03-01,10.99,84.1,143.300,149.100,148.600,151.400,150.800,2084.0,1038.6,,77.7,2.95
1993-04-01,11.00,85.1,143.800,149.500,149.100,151.700,151.400,2084.5,1047.7,,78,2.87
1993-05-01,11.02,85.2,144.200,149.600,149.600,151.700,151.800,2102.7,1065.9,,81.3,2.96
1993-06-01,11.03,85.3,144.300,149.600,149.800,151.800,152.100,2114.5,1075.1,,80.9,3.07
1993-07-01,11.05,85.8,144.500,149.700,150.000,152.000,152.300,2130.9,1084.5,,75,3.04
1993-08-01,11.08,85.7,144.800,150.300,150.500,152.600,152.800,2134.0,1094.2,,73.6,3.02
1993-09-01,11.10,86.2,145.000,150.600,150.700,152.900,152.900,2136.8,1104.1,,74.5,2.95
1993-10-01,11.13,86.5,145.600,151.200,151.100,153.500,153.400,2143.9,1112.9,,79.4,3.02
1993-11-01,11.15,86.7,146.000,151.500,151.600,153.900,153.900,2156.0,1124.2,,74.4,3.10
1993-12-01,11.18,87.0,146.300,151.700,152.000,153.900,154.300,2167.4,1129.8,,70,3.06
1994-01-01,11.21,87.2,146.300,152.200,152.200,154.300,154.500,2169.2,1131.6,,72.9,2.98
1994-02-01,11.25,86.9,146.700,152.600,152.400,155.000,154.800,2177.4,1136.3,,68.3,3.25
1994-03-01,11.25,88.1,147.100,153.300,152.800,155.800,155.300,2190.0,1140.3,,71.7,3.50
