DATE,BOPBCA,GDP,GDPC96
1990-01-01,-23.646,5708.1,8020.842
1990-04-01,-19.524,5797.4,8052.721
1990-07-01,-21.537,5850.6,8052.598
1990-10-01,-14.258,5846.0,7982.047
1991-01-01,9.957,5880.2,7943.380
1991-04-01,2.525,5962.0,7996.993
1991-07-01,-4.186,6033.7,8030.679
1991-10-01,-5.401,6092.5,8062.160
1992-01-01,-6.234,6190.7,8150.654
1992-04-01,-11.890,6295.2,8237.259
1992-07-01,-14.703,6389.7,8322.253
1992-10-01,-18.787,6493.6,8409.834
1993-01-01,-14.777,6544.5,8425.289
1993-04-01,-20.679,6622.7,8479.193
1993-07-01,-21.302,6688.3,8523.828
1993-10-01,-28.058,6813.8,8636.393
1994-01-01,-24.981,6916.3,8720.471
1994-04-01,-28.578,7044.3,8839.753
1994-07-01,-31.608,7131.8,8896.691
1994-10-01,-36.445,7248.2,8995.497
1995-01-01,-31.434,7307.7,9017.565
1995-04-01,-32.013,7355.8,9036.950
1995-07-01,-26.977,7452.5,9112.901
1995-10-01,-23.147,7542.5,9176.437
1996-01-01,-27.440,7638.2,9239.297
1996-04-01,-29.840,7800.0,9399.025
1996-07-01,-36.058,7892.7,9480.781
1996-10-01,-31.435,8023.0,9584.272
1997-01-01,-36.079,8137.0,9657.987
1997-04-01,-28.798,8276.8,9801.180
1997-07-01,-32.717,8409.9,9924.196
1997-10-01,-43.126,8505.7,10000.332
1998-01-01,-44.004,8600.6,10094.801
1998-04-01,-51.349,8698.6,10185.576
1998-07-01,-58.889,8847.2,10319.973
1998-10-01,-60.824,9027.5,10498.614
1999-01-01,-63.182,9148.6,10592.145
1999-04-01,-72.131,9252.6,10674.942
1999-07-01,-80.857,9405.1,10810.680
1999-10-01,-85.483,9607.7,11004.834
2000-01-01,-98.633,9709.5,11033.569
2000-04-01,-99.412,9949.1,11248.802
2000-07-01,-107.903,10017.5,11258.255
2000-10-01,-110.394,10129.8,11324.964
2001-01-01,-107.247,10165.1,11287.752
2001-04-01,-97.287,10301.3,11361.734
2001-07-01,-104.359,10305.2,11330.380
2001-10-01,-87.703,10373.1,11370.028
2002-01-01,-103.794,10498.7,11467.137
2002-04-01,-115.200,10601.9,11528.137
2002-07-01,-115.524,10701.7,11586.608
2002-10-01,-122.727,10766.9,11590.578
2003-01-01,-134.558,10887.4,11638.917
2003-04-01,-129.817,11011.6,11737.522
2003-07-01,-129.388,11255.1,11930.678
2003-10-01,-125.334,11414.8,12038.591
2004-01-01,-136.065,11589.9,12117.924
2004-04-01,-155.534,11762.9,12195.893
2004-07-01,-158.286,11936.3,12286.667
2004-10-01,-178.636,12123.9,12387.233
2005-01-01,-174.116,12361.8,12514.999
2005-04-01,-178.627,12500.0,12570.710
2005-07-01,-184.595,12728.6,12670.529
2005-10-01,-208.435,12901.4,12735.585
2006-01-01,-197.845,13161.4,12896.381
2006-04-01,-200.572,13330.4,12948.713
2006-07-01,-214.397,13432.8,12950.436
2006-10-01,-187.807,13584.2,13038.441
2007-01-01,-197.673,13758.5,13056.121
2007-04-01,-187.551,13976.8,13173.553
2007-07-01,-169.028,14126.2,13269.826
2007-10-01,-156.052,14253.2,13325.962
2008-01-01,-177.232,14273.9,13266.834
2008-04-01,-175.262,14415.5,13310.467
2008-07-01,-173.608,14395.1,13186.925
2008-10-01,-151.032,14081.7,12883.531
2009-01-01,-95.253,13893.7,12663.229
2009-04-01,-82.811,13854.1,12641.271
2009-07-01,-97.858,13920.5,12694.517
2009-10-01,-100.629,14087.4,12813.452
2010-01-01,-118.292,14277.9,12937.744
2010-04-01,-120.300,14467.8,13058.482
2010-07-01,-120.127,14605.5,13139.590
2010-10-01,-112.179,14755.0,13216.107
2011-01-01,-119.591,14867.8,13227.871
2011-04-01,-124.719,15012.8,13271.835
2011-07-01,-110.281,15176.1,13331.559
2011-10-01,,15294.3,13422.436
